Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH-27SEP24-1400-C,-,1,,5.85483,-0.39596,1.53388,0.00003,,0.97324,0.6632,192,-,0.616,0.6247,0.634,104.2,199
ETH-27SEP24-1400-P,341,1260,,-0.57524,-0.39596,1.53388,0.00003,,-0.02676,0.008,71,85.39,0.007,0.0075,0.008,87.78,71
ETH-27SEP24-1500-C,-,65,,6.16967,-0.46763,1.84163,0.00004,,0.96663,0.6364,156,54.13,0.5905,0.5993,0.6085,100.29,151
ETH-27SEP24-1500-P,253,1100,,-0.71969,-0.46763,1.84163,0.00004,,-0.03337,0.0095,71,84.18,0.009,0.0095,0.01,86.17,171
ETH-27SEP24-1600-C,-,793,,6.46324,-0.54352,2.17529,0.00004,,0.9591,0.6178,179,63.47,0.5655,0.5743,0.5835,97.08,172
ETH-27SEP24-1600-P,320,1253,,-0.88541,-0.54352,2.17529,0.00004,,-0.0409,0.0105,71,82.41,0.011,0.0118,0.0125,84.94,538
ETH-27SEP24-1700-C,-,267,,6.73112,-0.62501,2.53823,0.00005,,0.95045,0.5955,195,68.19,0.5415,0.5497,0.5595,94.98,202
ETH-27SEP24-1700-P,-,857,,-1.07681,-0.62501,2.53823,0.00005,,-0.04955,0.014,73,81.76,0.014,0.0146,0.015,83.21,73
ETH-27SEP24-1800-C,-,1107,,6.9682,-0.71357,2.93307,0.00006,,0.94052,0.52,213,69.02,0.517,0.5256,0.535,92.11,210
ETH-27SEP24-1800-P,357,1318,,-1.29902,-0.71357,2.93307,0.00006,,-0.05948,0.018,70,80.51,0.017,0.0179,0.0185,82.39,263
ETH-27SEP24-1900-C,-,597,,7.17148,-0.80919,3.35745,0.00007,,0.92921,0.5517,213,70.82,0.494,0.5022,0.512,90.59,220
ETH-27SEP24-1900-P,152,1444,,-1.55503,-0.80919,3.35745,0.00007,,-0.07079,0.0215,70,79.97,0.021,0.0218,0.0225,81.6,371
ETH-27SEP24-2000-C,-,753,,7.34484,-0.90808,3.79938,0.00008,,0.9167,0.472,199,71.89,0.4715,0.4794,0.489,88.77,199
ETH-27SEP24-2000-P,60,3573,,-1.84097,-0.90808,3.79938,0.00008,,-0.0833,0.025,70,79.38,0.0255,0.0263,0.027,80.82,70
ETH-27SEP24-2100-C,-,300,,7.48272,-1.01197,4.25965,0.00009,,0.90284,0.5108,210,72.49,0.4495,0.4573,0.4665,87.11,196
ETH-27SEP24-2100-P,23,2240,,-2.16238,-1.01197,4.25965,0.00009,,-0.09716,0.0295,116,78.74,0.0305,0.0316,0.032,80.04,70
ETH-27SEP24-2200-C,-,1324,,7.59455,-1.1147,4.72168,0.0001,,0.88801,0.42,218,72.76,0.428,0.4358,0.4455,86.3,215
ETH-27SEP24-2200-P,41,1140,,-2.50984,-1.1147,4.72168,0.0001,,-0.11199,0.0345,77,78.45,0.0365,0.0374,0.038,79.62,70
ETH-27SEP24-2300-C,-,320,,7.67711,-1.21723,5.18471,0.00011,,0.87212,0.4711,235,72.8,0.407,0.415,0.4245,85.14,230
ETH-27SEP24-2300-P,90,2400,,-2.88656,-1.21723,5.18471,0.00011,,-0.12788,0.041,77,78.05,0.043,0.044,0.0445,79.11,70
ETH-27SEP24-2400-C,-,733,,7.7268,-1.32077,5.64691,0.00012,,0.85512,0.417,182,73,0.387,0.3951,0.4045,84.33,176
ETH-27SEP24-2400-P,4,2780,,-3.29617,-1.32077,5.64691,0.00012,,-0.14488,0.05,77,77.89,0.0505,0.0514,0.052,78.86,70
ETH-27SEP24-2500-C,-,1915,,7.752,-1.42063,6.09695,0.00013,,0.83734,0.4,57,55.05,0.341,0.3758,0.3855,83.79,200
ETH-27SEP24-2500-P,2,818,,-3.73026,-1.42063,6.09695,0.00013,,-0.16266,0.0535,77,77.6,0.0585,0.0594,0.0605,78.8,304
ETH-27SEP24-2600-C,-,716,,7.75319,-1.51641,6.5316,0.00014,,0.81882,0.3435,220,73.41,0.3495,0.3572,0.367,83.2,222
ETH-27SEP24-2600-P,17,726,,-4.18836,-1.51641,6.5316,0.00014,,-0.18118,0.063,77,77.21,0.067,0.0682,0.069,78.33,182
ETH-27SEP24-2700-C,-,539,,7.72864,-1.60905,6.94879,0.00015,,0.79959,0.355,191,73.36,0.3315,0.3394,0.349,82.57,182
ETH-27SEP24-2700-P,-,529,,-4.6722,-1.60905,6.94879,0.00015,,-0.20041,0.076,109,77.01,0.0765,0.0777,0.0785,78.06,192
ETH-27SEP24-2800-C,-,469,,7.68273,-1.69654,7.34349,0.00015,,0.77982,0.3782,207,73.44,0.3145,0.3224,0.332,82.16,198
ETH-27SEP24-2800-P,97,493,,-5.1774,-1.69654,7.34349,0.00015,,-0.22018,0.0835,77,76.96,0.087,0.0881,0.089,77.96,253
ETH-27SEP24-2900-C,-,128,,7.61692,-1.77857,7.71308,0.00016,,0.75962,0.358,-,-,-,0.3061,-,-,-
ETH-27SEP24-2900-P,11,439,,-5.7025,-1.77857,7.71308,0.00016,,-0.24038,0.088,77,76.81,0.098,0.0991,0.1,77.76,160
ETH-27SEP24-3000-C,-,5110,,7.53281,-1.85488,8.05538,0.00017,,0.73909,0.295,56,58.19,0.2495,0.2906,0.3985,126.07,10
ETH-27SEP24-3000-P,34,520,,-6.2459,-1.85488,8.05538,0.00017,,-0.26091,0.103,77,76.81,0.11,0.111,0.112,77.72,234
ETH-27SEP24-3100-C,-,312,,7.43348,-1.92453,8.36853,0.00018,,0.71835,0.3175,-,-,-,0.2758,-,-,-
ETH-27SEP24-3100-P,34,305,,-6.80452,-1.92453,8.36853,0.00018,,-0.28165,0.1245,77,76.72,0.1225,0.1235,0.1245,77.6,225
ETH-27SEP24-3200-C,-,1269,,7.32143,-1.98687,8.65165,0.00018,,0.69749,0.246,47,-,0.0165,0.2616,-,-,-
ETH-27SEP24-3200-P,23,733,,-7.37586,-1.98687,8.65165,0.00018,,-0.30251,0.129,78,76.57,0.1355,0.1366,0.1375,77.41,212
ETH-27SEP24-3300-C,-,1,,7.19686,-2.04273,8.90435,0.00019,,0.67658,0.26,58,44.94,0.1705,0.2481,-,-,-
ETH-27SEP24-3300-P,65,177,,-7.95972,-2.04273,8.90435,0.00019,,-0.32342,0.1485,125,76.15,0.1485,0.1505,0.1515,77.38,207
ETH-27SEP24-3400-C,-,1088,,7.06201,-2.09175,9.12651,0.00019,,0.6557,0.2275,109,55.17,0.181,0.2352,0.325,113.33,102
ETH-27SEP24-3400-P,63,345,,-8.55386,-2.09175,9.12651,0.00019,,-0.3443,0.163,31,76.5,0.164,0.165,0.166,77.3,203
ETH-27SEP24-3500-C,-,3135,,6.91857,-2.13388,9.31842,0.0002,,0.63493,0.249,149,75.95,0.221,0.223,0.2245,77.32,143
ETH-27SEP24-3500-P,124,1290,,-9.15659,-2.13388,9.31842,0.0002,,-0.36507,0.1805,12,76.6,0.1795,0.1801,0.1815,77.38,207
ETH-27SEP24-3600-C,-,567,,6.76804,-2.16915,9.48073,0.0002,,0.61432,0.2135,144,75.95,0.2095,0.2114,0.213,77.3,144
ETH-27SEP24-3600-P,14,319,,-9.76641,-2.16915,9.48073,0.0002,,-0.38568,0.1835,33,76.27,0.1945,0.1958,0.197,77.23,159
ETH-27SEP24-3700-C,-,963,,6.60807,-2.20248,9.61278,0.0002,,0.59418,0.2135,58,76.12,0.199,0.2007,0.202,77.26,162
ETH-27SEP24-3700-P,80,307,,-10.38568,-2.20248,9.61278,0.0002,,-0.40582,0.192,214,75.54,0.209,0.2125,0.214,77.44,72
ETH-27SEP24-3800-C,332,863,,6.44665,-2.22643,9.71814,0.00021,,0.57419,0.2025,147,76.07,0.1885,0.1904,0.1915,77.2,16
ETH-27SEP24-3800-P,63,355,,-11.00638,-2.22643,9.71814,0.00021,,-0.42581,0.2055,172,75,0.2245,0.2295,0.232,77.82,192
ETH-27SEP24-3900-C,35,354,,6.28111,-2.24647,9.79659,0.00021,,0.55469,0.183,67,76.39,0.1795,0.1807,0.1815,77.14,14
ETH-27SEP24-3900-P,-,88,,-11.63121,-2.24647,9.79659,0.00021,,-0.44531,0.2115,201,74.83,0.2415,0.2472,0.2495,77.81,70
ETH-27SEP24-4000-C,244,5326,,6.11358,-2.26216,9.85005,0.00021,,0.53569,0.1775,141,76.34,0.17,0.1717,0.1725,77.27,27
ETH-27SEP24-4000-P,51,245,,-12.25803,-2.26216,9.85005,0.00021,,-0.46431,0.2455,127,63.55,0.229,0.2655,0.328,100.46,80
ETH-27SEP24-4100-C,42,187,,5.94597,-2.26997,9.88075,0.00021,,0.51692,0.169,233,76.29,0.161,0.1629,0.1635,77.21,20
ETH-27SEP24-4100-P,102,103,,-12.88494,-2.26997,9.88075,0.00021,,-0.48308,0.2585,116,63.57,0.2475,0.2841,0.3155,88.76,116
ETH-27SEP24-4200-C,12,286,,5.77795,-2.27427,9.8896,0.00021,,0.49871,0.155,142,76.44,0.153,0.1547,0.1555,77.36,70
ETH-27SEP24-4200-P,-,5,,-13.51225,-2.27427,9.8896,0.00021,,-0.50129,0.3475,116,63.02,0.265,0.3032,0.3355,89.13,116
ETH-27SEP24-4300-C,34,795,,5.6104,-2.27268,9.87826,0.00021,,0.48086,0.149,230,76.43,0.145,0.1468,0.148,77.54,160
ETH-27SEP24-4300-P,-,-,,-14.13909,-2.27268,9.87826,0.00021,,-0.51914,-,70,62.07,0.282,0.3227,0.3565,89.73,118
ETH-27SEP24-4400-C,21,739,,5.44447,-2.26964,9.84882,0.00021,,0.46376,0.152,243,76.45,0.1375,0.1396,0.1405,77.57,70
ETH-27SEP24-4400-P,-,-,,-14.76431,-2.26964,9.84882,0.00021,,-0.53624,-,124,62.06,0.302,0.3428,0.3775,90.2,124
ETH-27SEP24-4500-C,142,4721,,5.28025,-2.26174,9.80247,0.00021,,0.44707,0.1325,242,76.7,0.131,0.1327,0.1335,77.63,70
ETH-27SEP24-4500-P,-,440,,-15.38781,-2.26174,9.80247,0.00021,,-0.55293,0.3425,-,-,-,0.3632,-,-,-
ETH-27SEP24-4600-C,327,1006,,5.11885,-2.25153,9.74142,0.0002,,0.43102,0.127,245,76.81,0.1245,0.1262,0.127,77.75,70
ETH-27SEP24-4600-P,-,301,,-16.0085,-2.25153,9.74142,0.0002,,-0.56898,0.363,-,-,-,0.3841,-,-,-
ETH-27SEP24-4800-C,77,964,,4.80495,-2.22196,9.58026,0.0002,,0.40047,0.1175,261,77.01,0.1125,0.1144,0.115,77.97,88
ETH-27SEP24-4800-P,-,200,,-17.24099,-2.22196,9.58026,0.0002,,-0.59953,0.3559,221,73.65,0.416,0.427,0.433,80.16,218
ETH-27SEP24-5000-C,58,4390,,4.50554,-2.18354,9.37728,0.0002,,0.37214,0.103,6,77.5,0.1025,0.1039,0.1045,78.28,82
ETH-27SEP24-5000-P,-,40,,-18.45897,-2.18354,9.37728,0.0002,,-0.62786,1.06,192,73.79,0.46,0.4712,0.4775,80.64,192
ETH-27SEP24-5500-C,45,4869,,3.82255,-2.05449,8.74171,0.00018,,0.30968,0.0845,120,78.11,0.0805,0.0821,0.0825,78.94,70
ETH-27SEP24-5500-P,-,-,,-21.43842,-2.05449,8.74171,0.00018,,-0.69032,0.7575,176,74.01,0.5745,0.5861,0.593,81.8,181
ETH-27SEP24-6000-C,93,4773,,3.23708,-1.90035,8.01247,0.00016,,0.25822,0.074,125,78.81,0.064,0.0655,0.066,79.73,174
ETH-27SEP24-6000-P,-,-,,-24.32034,-1.90035,8.01247,0.00016,,-0.74178,0.775,179,74.44,0.695,0.7062,0.7135,82.96,177
ETH-27SEP24-6500-C,1,2817,,2.74019,-1.73561,7.25859,0.00015,,0.21578,0.055,185,79.57,0.0515,0.0526,0.0535,80.58,295
ETH-27SEP24-6500-P,-,-,,-27.11368,-1.73561,7.25859,0.00015,,-0.78422,-,207,74.3,0.8185,0.8301,0.8375,84.02,203
ETH-27SEP24-7000-C,21,1749,,2.32118,-1.57092,6.52265,0.00013,,0.18079,0.042,191,79.83,0.041,0.0426,0.043,80.96,114
ETH-27SEP24-7000-P,-,-,,-29.82914,-1.57092,6.52265,0.00013,,-0.81921,-,188,74.01,0.945,0.9568,0.963,84.39,183
ETH-27SEP24-7500-C,14,977,,1.97023,-1.41394,5.83155,0.00012,,0.15202,0.0395,197,80.51,0.0335,0.0347,0.0355,81.77,284
ETH-27SEP24-7500-P,-,115,,-32.47655,-1.41394,5.83155,0.00012,,-0.84798,0.9286,175,72.58,1.0725,1.0856,1.093,86.02,173
ETH-27SEP24-8000-C,-,1133,,1.67432,-1.26582,5.19115,0.0001,,0.12811,0.0355,70,81.08,0.0275,0.0284,0.029,82.14,124
ETH-27SEP24-8000-P,-,-,,-35.06891,-1.26582,5.19115,0.0001,,-0.87189,2.1065,154,70.73,1.202,1.216,1.224,87.37,169
ETH-27SEP24-8500-C,5,1811,,1.42731,-1.13104,4.61314,0.00009,,0.10842,0.028,70,81.43,0.0225,0.0234,0.024,82.63,129
ETH-27SEP24-8500-P,-,-,,-37.61237,-1.13104,4.61314,0.00009,,-0.89158,-,157,70.05,1.3345,1.3478,1.3545,87.59,159
ETH-27SEP24-9000-C,142,323,,1.22633,-1.01496,4.11191,0.00008,,0.09261,0.023,303,81.75,0.0185,0.0196,0.02,83.1,132
ETH-27SEP24-9000-P,-,-,,-40.1098,-1.01496,4.11191,0.00008,,-0.90739,-,129,66.72,1.4665,1.4807,1.4875,88.82,130
ETH-27SEP24-10000-C,321,1403,,0.91233,-0.81444,3.26239,0.00006,,0.0682,0.017,70,82.68,0.013,0.0139,0.0145,84.37,262
ETH-27SEP24-10000-P,-,-,,-45.0167,-0.81444,3.26239,0.00006,,-0.9318,-,122,-,1.7335,1.7484,1.755,90.9,122
ETH-27SEP24-12000-C,120,1022,,0.54844,-0.55408,2.15817,0.00004,,0.04051,0.0085,273,84.56,0.007,0.0079,0.0085,87.13,414
ETH-27SEP24-12000-P,-,-,,-54.5664,-0.55408,2.15817,0.00004,,-0.95949,-,-,-,-,2.2893,-,-,-
ETH-27SEP24-15000-C,2,704,,0.28074,-0.32432,1.22452,0.00002,,0.02048,0.0046,317,87.67,0.0034,0.0038,0.0043,90.32,317
ETH-27SEP24-15000-P,-,-,,-68.61281,-0.32432,1.22452,0.00002,,-0.97952,-,-,-,-,3.1055,-,-,-
