Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
BTC-27DEC24-38000-P,1,144.6,,-62.81162,-14.84286,97.87592,-,,-0.08147,0.035,17.8,78.19,0.0325,0.0332,0.034,79.37,15
BTC-27DEC24-39000-C,-,0.2,,209.74245,-15.62778,103.17251,-,,0.91261,0.55,5,68.52,0.517,0.5296,0.543,88.13,5
BTC-27DEC24-39000-P,-,28.4,,-67.6866,-15.62778,103.17251,-,,-0.08739,0.04,17.5,78.14,0.0355,0.0362,0.037,79.26,14
BTC-27DEC24-40000-C,-,28.2,,211.79013,-16.41589,108.48351,-,,0.90649,0.518,5,68.91,0.507,0.5197,0.5335,87.87,5
BTC-27DEC24-40000-P,0.1,443.6,,-72.75249,-16.41589,108.48351,-,,-0.09351,0.0425,17.3,77.99,0.0385,0.0393,0.04,79.06,13
BTC-27DEC24-41000-C,-,11.2,,213.79581,-17.16901,113.68872,-,,0.90033,0.53,5,69.51,0.4975,0.5099,0.5235,87.22,5
BTC-27DEC24-41000-P,-,22.7,,-77.86037,-17.16901,113.68872,-,,-0.09967,0.041,17,77.75,0.0415,0.0425,0.043,78.77,8
BTC-27DEC24-42000-C,-,9.8,,215.64028,-17.91722,118.87901,-,,0.89402,0.51,5,69.58,0.4875,0.5002,0.514,86.82,5
BTC-27DEC24-42000-P,-,30.6,,-83.12947,-17.91722,118.87901,-,,-0.10598,0.045,16.8,77.75,0.045,0.0458,0.0465,78.72,11
BTC-27DEC24-43000-C,-,8.7,,217.16242,-18.69964,124.15322,-,,0.88742,0.4966,5,70.2,0.4785,0.4909,0.5045,86.37,5
BTC-27DEC24-43000-P,-,33.4,,-88.72089,-18.69964,124.15322,-,,-0.11258,0.061,16.5,77.65,0.0485,0.0494,0.05,78.58,8
BTC-27DEC24-44000-C,-,5.2,,218.58924,-19.45952,129.34513,-,,0.88073,0.494,5,70.34,0.469,0.4816,0.4955,86.15,5
BTC-27DEC24-44000-P,-,35,,-94.40764,-19.45952,129.34513,-,,-0.11927,0.063,16.5,77.47,0.052,0.0531,0.054,78.66,11
BTC-27DEC24-45000-C,-,159.6,,219.90433,-20.20095,134.46525,-,,0.87395,0.49,5,70.67,0.46,0.4724,0.486,85.59,5
BTC-27DEC24-45000-P,20,349,,-100.20611,-20.20095,134.46525,-,,-0.12605,0.056,16.2,77.5,0.056,0.0569,0.058,78.64,14
BTC-27DEC24-46000-C,1,12.9,,220.89186,-20.97599,139.62871,-,,0.8669,0.465,5,70.88,0.451,0.4635,0.4775,85.51,5
BTC-27DEC24-46000-P,-,90.2,,-106.33216,-20.97599,139.62871,-,,-0.1331,0.067,15.9,77.44,0.06,0.0611,0.062,78.54,12
BTC-27DEC24-47000-C,-,15.9,,221.75252,-21.73585,144.70902,-,,0.85976,0.481,5,71.26,0.4425,0.4548,0.4685,85.11,5
BTC-27DEC24-47000-P,1,12.2,,-112.58505,-21.73585,144.70902,-,,-0.14024,0.064,15.5,77.3,0.064,0.0654,0.066,78.36,10
BTC-27DEC24-48000-C,-,24.2,,222.53664,-22.46869,149.6801,-,,0.85256,0.473,5,71.26,0.4335,0.4462,0.46,84.91,5
BTC-27DEC24-48000-P,1.5,38.9,,-118.9145,-22.46869,149.6801,-,,-0.14744,0.0675,15.2,77.35,0.0685,0.0697,0.0705,78.38,11
BTC-27DEC24-49000-C,-,8.7,,223.1077,-23.20747,154.60252,-,,0.84521,0.4565,5,71.43,0.425,0.4378,0.4515,84.65,5
BTC-27DEC24-49000-P,-,23.9,,-125.45701,-23.20747,154.60252,-,,-0.15479,0.074,14.9,77.32,0.073,0.0743,0.075,78.31,11
BTC-27DEC24-50000-C,6,132.2,,223.55371,-23.93142,159.42936,-,,0.83778,0.4395,5,71.76,0.417,0.4296,0.443,84.33,5
BTC-27DEC24-50000-P,0.1,181.6,,-132.12456,-23.93142,159.42936,-,,-0.16222,0.076,14.7,77.22,0.0775,0.0791,0.0795,78.18,9
BTC-27DEC24-51000-C,1,14,,223.87604,-24.64063,164.157,-,,0.83028,0.4245,5,71.76,0.4085,0.4215,0.435,84.2,5
BTC-27DEC24-51000-P,3,24.6,,-138.9158,-24.64063,164.157,-,,-0.16972,0.0855,14.4,77.05,0.082,0.084,0.0845,78.22,9
BTC-27DEC24-52000-C,-,25.5,,224.07839,-25.33472,168.78111,0.00001,,0.82271,0.4045,5,71.91,0.4005,0.4135,0.427,84.01,5
BTC-27DEC24-52000-P,-,20.5,,-145.82701,-25.33472,168.78111,0.00001,,-0.17729,0.085,14.2,77.28,0.0875,0.089,0.09,78.42,12
BTC-27DEC24-53000-C,1,26.4,,224.16902,-26.01227,173.29642,0.00001,,0.81508,0.4335,5,72.21,0.393,0.4057,0.419,83.77,5
BTC-27DEC24-53000-P,-,50.5,,-152.84995,-26.01227,173.29642,0.00001,,-0.18492,0.101,14,76.99,0.092,0.0942,0.0955,78.55,16
BTC-27DEC24-54000-C,-,20.9,,224.1506,-26.67327,177.70001,0.00001,,0.8074,0.4205,5,72.21,0.385,0.3981,0.4115,83.7,5
BTC-27DEC24-54000-P,-,55.9,,-159.98194,-26.67327,177.70001,0.00001,,-0.1926,0.119,13.7,77.09,0.0975,0.0995,0.1005,78.39,12
BTC-27DEC24-55000-C,-,533.5,,224.02902,-27.31695,181.98844,0.00001,,0.79967,0.383,5,76.83,0.388,0.3906,0.3965,80.42,5
BTC-27DEC24-55000-P,0.7,239.4,,-167.21708,-27.31695,181.98844,0.00001,,-0.20033,0.1005,13.6,77.11,0.103,0.105,0.1065,78.6,14
BTC-27DEC24-56000-C,-,35.5,,223.80864,-27.94298,186.15915,0.00001,,0.7919,0.371,5,76.8,0.3805,0.3832,0.389,80.31,5
BTC-27DEC24-56000-P,-,84.1,,-174.55102,-27.94298,186.15915,0.00001,,-0.2081,0.105,13.5,77.08,0.1085,0.1106,0.1115,78.32,12
BTC-27DEC24-57000-C,-,131.5,,223.49408,-28.55101,190.20991,0.00001,,0.78409,0.3675,5,76.92,0.3735,0.376,0.382,80.35,5
BTC-27DEC24-57000-P,-,16.8,,-181.97915,-28.55101,190.20991,0.00001,,-0.21591,0.12,13.2,77,0.114,0.1164,0.118,78.62,15
BTC-27DEC24-58000-C,1,19.4,,223.0899,-29.14072,194.13893,0.00001,,0.77627,0.379,5,76.77,0.366,0.3689,0.375,80.34,5
BTC-27DEC24-58000-P,-,27.2,,-189.4969,-29.14072,194.13893,0.00001,,-0.22373,0.112,13.2,77.06,0.12,0.1223,0.124,78.64,14
BTC-27DEC24-59000-C,-,28,,222.59995,-29.712,197.94485,0.00001,,0.76842,0.344,5,76.78,0.359,0.3619,0.368,80.28,5
BTC-27DEC24-59000-P,-,32,,-197.10041,-29.712,197.94485,0.00001,,-0.23158,0.13,13.1,77.06,0.126,0.1283,0.13,78.62,12
BTC-27DEC24-60000-C,2.2,746.8,,222.02858,-30.26463,201.62658,0.00001,,0.76055,0.367,5,76.92,0.3525,0.3551,0.361,80.17,5
BTC-27DEC24-60000-P,30,125.1,,-204.78535,-30.26463,201.62658,0.00001,,-0.23945,0.125,12.8,77.01,0.132,0.1345,0.136,78.54,12
BTC-27DEC24-61000-C,-,24.6,,221.40197,-30.79265,205.18273,0.00001,,0.75268,0.342,5,76.83,0.3455,0.3484,0.354,80.02,5
BTC-27DEC24-61000-P,-,14.7,,-212.52552,-30.79265,205.18273,0.00001,,-0.24732,0.154,12.7,77.11,0.1385,0.1408,0.143,78.79,13
BTC-27DEC24-62000-C,-,50.1,,220.67989,-31.30755,208.61486,0.00001,,0.74479,0.3585,10,76.87,0.339,0.3418,0.3475,80.01,10
BTC-27DEC24-62000-P,0.9,15,,-220.36117,-31.30755,208.61486,0.00001,,-0.25521,0.1615,12.7,77.15,0.145,0.1472,0.1495,78.81,13
BTC-27DEC24-63000-C,-,36.7,,219.89538,-31.80158,211.92171,0.00001,,0.73691,0.3695,10,76.86,0.3325,0.3354,0.341,79.95,10
BTC-27DEC24-63000-P,-,56.6,,-228.25924,-31.80158,211.92171,0.00001,,-0.26309,0.162,12.6,77.14,0.1515,0.1537,0.1565,78.96,14
BTC-27DEC24-65000-C,0.8,926.9,,218.12598,-32.73456,218.16042,0.00001,,0.72116,0.3325,10,76.89,0.32,0.3228,0.3285,79.89,10
BTC-27DEC24-65000-P,-,52.6,,-244.25577,-32.73456,218.16042,0.00001,,-0.27884,0.2,12.3,77.17,0.165,0.1672,0.17,78.94,13
BTC-27DEC24-70000-C,0.3,1382,,212.44232,-34.83725,231.53889,0.00001,,0.68226,0.308,10,76.84,0.2905,0.2943,0.299,79.67,10
BTC-27DEC24-70000-P,-,89.8,,-285.50726,-34.83725,231.53889,0.00001,,-0.31774,0.239,9.1,77.46,0.2015,0.2036,0.2055,78.79,9
BTC-27DEC24-75000-C,8,937.5,,205.49169,-36.61212,241.82824,0.00001,,0.64473,0.271,8,77.97,0.2675,0.2695,0.272,79.4,13
BTC-27DEC24-75000-P,1.3,63,,-328.02572,-36.61212,241.82824,0.00001,,-0.35527,0.2505,11.8,76.67,0.2375,0.2437,0.2465,79.53,14
BTC-27DEC24-80000-C,5,539.4,,198.09719,-37.92539,249.4235,0.00001,,0.60853,0.253,8.2,78.23,0.2445,0.2468,0.2495,79.78,13.2
BTC-27DEC24-80000-P,-,64.3,,-370.98805,-37.92539,249.4235,0.00001,,-0.39147,0.2975,10,75.92,0.276,0.286,0.2925,81.01,14
BTC-27DEC24-85000-C,4,424.6,,190.40229,-38.82823,254.63582,0.00001,,0.57371,0.23,10.2,78.56,0.224,0.226,0.2285,79.92,13.2
BTC-27DEC24-85000-P,-,16.4,,-414.25077,-38.82823,254.63582,0.00001,,-0.42629,0.356,16,75.85,0.319,0.3302,0.3355,80.84,16
BTC-27DEC24-90000-C,10.1,501.7,,182.50069,-39.40589,257.73265,0.00001,,0.54053,0.211,12.5,78.7,0.205,0.2073,0.21,80.2,13.5
BTC-27DEC24-90000-P,0.2,28.6,,-457.7202,-39.40589,257.73265,0.00001,,-0.45947,0.362,10,75.15,0.362,0.3764,0.38,80.52,12
BTC-27DEC24-95000-C,2.2,287.4,,174.53461,-39.73658,259.00065,0.00001,,0.50928,0.197,9.7,79.19,0.189,0.1906,0.193,80.38,10
BTC-27DEC24-95000-P,-,10.9,,-501.25411,-39.73658,259.00065,0.00001,,-0.49072,0.4565,10,75.37,0.41,0.4246,0.429,81.02,12
BTC-27DEC24-100000-C,11.6,3209.9,,166.64892,-39.82565,258.73789,0.00001,,0.47978,0.1805,12.9,79.33,0.1735,0.1755,0.178,80.67,10
BTC-27DEC24-100000-P,0.1,21.3,,-544.70762,-39.82565,258.73789,0.00001,,-0.52022,0.4335,10,75.52,0.4595,0.4745,0.488,84.01,10
BTC-27DEC24-105000-C,3,95.6,,158.93145,-39.72745,257.20268,0.00001,,0.45212,0.1725,13,79.63,0.16,0.1619,0.1645,80.97,10
BTC-27DEC24-105000-P,-,0.9,,-587.99292,-39.72745,257.20268,0.00001,,-0.54788,0.447,10,75.81,0.511,0.5259,0.5395,84.34,10
BTC-27DEC24-110000-C,18.6,496.2,,151.47225,-39.49844,254.65361,0.00001,,0.42644,0.1495,3,80.28,0.149,0.1498,0.152,81.19,10
BTC-27DEC24-110000-P,-,2.1,,-631.01995,-39.49844,254.65361,0.00001,,-0.57356,0.661,9,75.98,0.5635,0.5787,0.5925,84.75,9
BTC-27DEC24-115000-C,3,80.2,,144.18769,-39.03395,251.15987,0.00001,,0.40166,0.1375,11.4,80.27,0.137,0.1384,0.141,81.5,10
BTC-27DEC24-115000-P,-,-,,-673.87234,-39.03395,251.15987,0.00001,,-0.59834,1.514,8,76.07,0.617,0.6322,0.6465,85.12,8
BTC-27DEC24-120000-C,0.1,569.2,,137.25989,-38.52805,247.05645,0.00001,,0.37898,0.142,11.4,80.56,0.127,0.1283,0.1305,81.65,10
BTC-27DEC24-120000-P,-,6.3,,-716.36796,-38.52805,247.05645,0.00001,,-0.62102,0.7435,7,76.13,0.6715,0.6871,0.7015,85.5,7
BTC-27DEC24-125000-C,38,109.8,,130.65536,-37.94291,242.44466,0.00001,,0.35785,0.1195,12.4,80.86,0.118,0.1193,0.1215,81.97,10
BTC-27DEC24-125000-P,-,6.2,,-758.54032,-37.94291,242.44466,0.00001,,-0.64215,0.7802,6,76.36,0.7275,0.743,0.7575,85.9,6
BTC-27DEC24-130000-C,1,247,,124.37393,-37.29171,237.44435,0.00001,,0.33814,0.1165,14.4,81.05,0.1095,0.111,0.113,82.18,10
BTC-27DEC24-130000-P,-,15.5,,-800.38958,-37.29171,237.44435,0.00001,,-0.66186,0.8715,6,76.29,0.7835,0.7997,0.8145,86.37,6
BTC-27DEC24-135000-C,0.2,55.6,,118.38606,-36.57257,232.1222,0.00001,,0.31964,0.1035,14.5,81.32,0.102,0.1035,0.105,82.32,10
BTC-27DEC24-135000-P,-,17.4,,-841.94528,-36.57257,232.1222,0.00001,,-0.68036,0.8795,5,76.29,0.8405,0.8571,0.872,86.77,5
BTC-27DEC24-140000-C,2.1,237.3,,112.59597,-35.74804,226.43196,0.00001,,0.3019,0.097,4,81.7,0.0955,0.0963,0.098,82.55,10
BTC-27DEC24-140000-P,-,1.2,,-883.3032,-35.74804,226.43196,0.00001,,-0.6981,0.975,5,76.2,0.898,0.9149,0.93,87.12,5
BTC-27DEC24-150000-C,2,299,,101.99981,-34.085,214.81019,0.00001,,0.27023,0.0875,13.5,82.04,0.083,0.084,0.0855,82.93,10
BTC-27DEC24-150000-P,-,2.2,,-965.03501,-34.085,214.81019,0.00001,,-0.72977,1.096,-,-,-,1.0325,-,-,-
BTC-27DEC24-160000-C,-,310,,92.52942,-32.38583,203.07174,0.00001,,0.24262,0.074,6,82.56,0.073,0.0736,0.075,83.32,10
BTC-27DEC24-160000-P,-,2.9,,-1045.64105,-32.38583,203.07174,0.00001,,-0.75738,1.4,-,-,-,1.1521,-,-,-
BTC-27DEC24-180000-C,2.2,287.8,,76.36853,-28.94956,180.00209,0.00001,,0.19672,0.0585,2,83.39,0.057,0.0573,0.058,83.82,5
BTC-27DEC24-180000-P,-,14.1,,-1204.07325,-28.94956,180.00209,0.00001,,-0.80328,1.345,-,-,-,1.3955,-,-,-
BTC-27DEC24-200000-C,8,518,,63.29316,-25.64631,158.42247,-,,0.16065,0.0455,17,83.78,0.0445,0.0451,0.046,84.51,16
BTC-27DEC24-200000-P,-,17.8,,-1359.41993,-25.64631,158.42247,-,,-0.83935,1.812,-,-,-,1.6431,-,-,-
BTC-27DEC24-240000-C,22,359.3,,44.08562,-19.86792,121.5565,-,,0.10931,0.029,16,84.67,0.0285,0.0288,0.0295,85.31,11
BTC-27DEC24-240000-P,0.1,7.6,,-1663.17008,-19.86792,121.5565,-,,-0.89069,2.09,-,-,-,2.1464,-,-,-
BTC-27DEC24-300000-C,0.1,248.7,,27.39072,-13.93354,83.77048,-,,0.06646,0.016,3,86.42,0.0165,0.0164,0.017,86.87,10
BTC-27DEC24-300000-P,-,1.4,,-2106.67892,-13.93354,83.77048,-,,-0.93354,3.093,-,-,-,2.9135,-,-,-
