Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
BTC-27SEP24-35000-P,-,162.7,,-21.02138,-12.02365,50.28774,-,,-0.04645,0.014,14.1,79.85,0.0125,0.0132,0.014,82.11,11.3
BTC-27SEP24-36000-C,-,35.2,,143.53847,-13.07007,54.68586,-,,0.94841,0.5381,6.8,78.25,0.539,0.5409,0.543,83.8,5
BTC-27SEP24-36000-P,9,35,,-23.44988,-13.07007,54.68586,-,,-0.05159,0.015,14,80.25,0.0145,0.015,0.0155,81.64,11.3
BTC-27SEP24-37000-C,-,78.5,,145.77813,-14.03507,58.91427,-,,0.94331,0.5269,6.7,78.13,0.5275,0.5294,0.5315,83.28,5
BTC-27SEP24-37000-P,-,46.4,,-25.84879,-14.03507,58.91427,-,,-0.05669,0.016,14.3,79.75,0.016,0.0167,0.0175,81.68,13
BTC-27SEP24-38000-C,-,34.8,,148.10164,-14.89007,62.91426,-,,0.93836,0.5185,4,79.08,0.517,0.5179,0.52,82.65,5
BTC-27SEP24-38000-P,1,46.9,,-28.16385,-14.89007,62.91426,-,,-0.06164,0.0185,8,79.75,0.018,0.0183,0.019,80.95,10
BTC-27SEP24-39000-C,0.1,35.7,,150.05229,-15.89519,67.35266,-,,0.93271,0.506,6.7,77.98,0.505,0.5067,0.509,82.47,5
BTC-27SEP24-39000-P,3,228.5,,-30.85176,-15.89519,67.35266,-,,-0.06729,0.0205,4,79.57,0.02,0.0203,0.021,80.69,10
BTC-27SEP24-40000-C,1.1,795.5,,151.88133,-16.90184,71.83839,-,,0.92683,0.4885,6.7,77.95,0.494,0.4956,0.498,82.15,5
BTC-27SEP24-40000-P,-,393.1,,-33.66129,-16.90184,71.83839,-,,-0.07317,0.021,6,79.25,0.022,0.0224,0.023,80.3,10
BTC-27SEP24-41000-C,19.7,53.9,,153.41757,-18.00088,76.58111,-,,0.92041,0.455,6.7,77.75,0.483,0.4848,0.487,81.71,5
BTC-27SEP24-41000-P,0.1,55.7,,-36.76361,-18.00088,76.58111,-,,-0.07959,0.028,4,79.3,0.0245,0.0248,0.0255,80.29,10.3
BTC-27SEP24-42000-C,-,23.1,,154.88832,-19.06436,81.26597,-,,0.91388,0.4685,5,78.38,0.473,0.4741,0.476,81.17,5
BTC-27SEP24-42000-P,1,33.7,,-39.93143,-19.06436,81.26597,-,,-0.08612,0.0305,14.3,78.73,0.0265,0.0273,0.028,80.13,10.9
BTC-27SEP24-43000-C,-,27.4,,156.27828,-20.0999,85.91334,-,,0.90719,0.4675,6.6,77.44,0.4615,0.4635,0.4655,80.98,5
BTC-27SEP24-43000-P,-,27.1,,-43.18004,-20.0999,85.91334,-,,-0.09281,0.0335,14.3,78.52,0.029,0.0298,0.0305,79.85,10.6
BTC-27SEP24-44000-C,-,329.5,,157.49334,-21.1558,90.62565,-,,0.9002,0.456,5,78.17,0.452,0.453,0.455,80.67,5
BTC-27SEP24-44000-P,-,39.4,,-46.60354,-21.1558,90.62565,-,,-0.0998,0.0355,8,78.61,0.032,0.0325,0.0335,79.87,10.9
BTC-27SEP24-45000-C,-,217.1,,158.51818,-22.23743,95.40197,-,,0.89288,0.4345,6.6,77.47,0.441,0.4428,0.445,80.65,5
BTC-27SEP24-45000-P,3,66.7,,-50.21727,-22.23743,95.40197,-,,-0.10712,0.0365,5,78.56,0.035,0.0355,0.0365,79.75,10.9
BTC-27SEP24-46000-C,-,34.7,,159.43964,-23.29787,100.13833,-,,0.88539,0.4283,5,77.86,0.4315,0.4327,0.4345,80.13,5
BTC-27SEP24-46000-P,1,29,,-53.93437,-23.29787,100.13833,-,,-0.11461,0.0455,7,78.39,0.038,0.0385,0.0395,79.52,10.9
BTC-27SEP24-47000-C,-,109.4,,160.32592,-24.30166,104.76766,-,,0.87782,0.4055,6.6,77.36,0.421,0.4226,0.425,80.25,6.6
BTC-27SEP24-47000-P,0.2,26.9,,-57.68666,-24.30166,104.76766,-,,-0.12218,0.0445,7,78.1,0.041,0.0416,0.0425,79.19,10.6
BTC-27SEP24-48000-C,-,43.1,,160.92416,-25.37594,109.51647,0.00001,,0.8698,0.4092,6.5,77.13,0.411,0.4129,0.415,79.91,5
BTC-27SEP24-48000-P,25.1,315.2,,-61.72699,-25.37594,109.51647,0.00001,,-0.1302,0.046,6,78.08,0.0445,0.0451,0.046,79.11,10.8
BTC-27SEP24-49000-C,-,25.2,,161.42965,-26.4204,114.19134,0.00001,,0.86163,0.3675,5.5,77.15,0.4015,0.4033,0.4055,79.8,5
BTC-27SEP24-49000-P,-,61.3,,-65.86005,-26.4204,114.19134,0.00001,,-0.13837,0.0445,7,77.93,0.048,0.0486,0.0495,78.93,9.5
BTC-27SEP24-50000-C,-,860.1,,161.77219,-27.46961,118.84323,0.00001,,0.85321,0.3785,6.5,77.04,0.392,0.3939,0.396,79.6,5
BTC-27SEP24-50000-P,-,389.6,,-70.15608,-27.46961,118.84323,0.00001,,-0.14679,0.0565,5,78.01,0.052,0.0524,0.0535,78.97,9.8
BTC-27SEP24-51000-C,-,152.8,,162.06453,-28.46686,123.37873,0.00001,,0.84471,0.3855,3,77.46,0.3835,0.3846,0.3865,79.31,5
BTC-27SEP24-51000-P,3.2,31.7,,-74.50231,-28.46686,123.37873,0.00001,,-0.15529,0.0615,6,77.67,0.0555,0.0562,0.057,78.59,1.5
BTC-27SEP24-52000-C,1,20.7,,162.17135,-29.47923,127.89052,0.00001,,0.83595,0.3655,4,77.45,0.3745,0.3755,0.3775,79.23,5
BTC-27SEP24-52000-P,3,217.2,,-79.03405,-29.47923,127.89052,0.00001,,-0.16405,0.067,12,77.55,0.0595,0.0603,0.0615,78.73,9.7
BTC-27SEP24-53000-C,-,33.3,,162.15635,-30.47497,132.32298,0.00001,,0.82703,0.365,4,77.33,0.3655,0.3666,0.3685,79.05,5
BTC-27SEP24-53000-P,3,215.3,,-83.68761,-30.47497,132.32298,0.00001,,-0.17297,0.071,7,77.62,0.064,0.0646,0.0655,78.48,1.5
BTC-27SEP24-54000-C,-,34.9,,161.99831,-31.46489,136.68059,0.00001,,0.81792,0.375,6.5,76.85,0.356,0.358,0.36,79.08,5
BTC-27SEP24-54000-P,1,52.5,,-88.48422,-31.46489,136.68059,0.00001,,-0.18208,0.076,7,77.6,0.0685,0.0691,0.07,78.43,1.5
BTC-27SEP24-55000-C,-,300.7,,161.74874,-32.42379,140.92688,0.00001,,0.80869,0.3215,6.5,76.85,0.3475,0.3495,0.3515,79.01,5
BTC-27SEP24-55000-P,1,321,,-93.37236,-32.42379,140.92688,0.00001,,-0.19131,0.081,11,77.48,0.073,0.0738,0.0745,78.29,1.5
BTC-27SEP24-56000-C,-,63.3,,161.4415,-33.33504,145.04359,0.00001,,0.79939,0.3446,4,77.28,0.34,0.341,0.343,78.85,5
BTC-27SEP24-56000-P,5.2,49.9,,-98.31816,-33.33504,145.04359,0.00001,,-0.20061,0.0835,7,77.54,0.078,0.0785,0.0795,78.33,1.4
BTC-27SEP24-57000-C,2,122.7,,160.96974,-34.25348,149.07589,0.00001,,0.78992,0.322,5.4,76.84,0.331,0.3329,0.3345,78.62,5
BTC-27SEP24-57000-P,0.3,28,,-103.42849,-34.25348,149.07589,0.00001,,-0.21008,0.082,6,77.51,0.083,0.0836,0.0845,78.28,1.4
BTC-27SEP24-58000-C,-,111.1,,160.41492,-35.13905,152.98078,0.00001,,0.78036,0.3455,5.4,76.83,0.323,0.3249,0.3265,78.57,5
BTC-27SEP24-58000-P,-,33.1,,-108.62187,-35.13905,152.98078,0.00001,,-0.21964,0.093,6,77.4,0.088,0.0888,0.0895,78.15,1.4
BTC-27SEP24-59000-C,1,133.4,,159.76227,-36.00059,156.76066,0.00001,,0.7707,0.301,4,77.23,0.316,0.3171,0.319,78.68,5
BTC-27SEP24-59000-P,-,29.5,,-113.91309,-36.00059,156.76066,0.00001,,-0.2293,0.0985,6,77.46,0.0935,0.0941,0.095,78.19,1.4
BTC-27SEP24-60000-C,0.4,881.8,,159.02045,-36.83514,160.40877,0.00001,,0.76098,0.2995,6.4,76.82,0.3075,0.3095,0.311,78.47,5
BTC-27SEP24-60000-P,27.7,235.4,,-119.29347,-36.83514,160.40877,0.00001,,-0.23902,0.1005,7,77.44,0.099,0.0997,0.1005,78.15,1.4
BTC-27SEP24-62000-C,0.9,298.9,,157.29924,-38.41413,167.2906,0.00001,,0.74136,0.289,7.4,76.96,0.293,0.2948,0.297,78.77,1.4
BTC-27SEP24-62000-P,0.1,122.6,,-130.29182,-38.41413,167.2906,0.00001,,-0.25864,0.119,7,77.4,0.1105,0.1113,0.112,78.08,1.4
BTC-27SEP24-65000-C,3.8,1587.2,,154.22826,-40.52611,176.53629,0.00001,,0.71168,0.266,5.3,76.96,0.272,0.2738,0.276,78.68,1.3
BTC-27SEP24-65000-P,2,393.5,,-147.27849,-40.52611,176.53629,0.00001,,-0.28832,0.1375,8,77.37,0.129,0.1298,0.131,78.23,1.3
BTC-27SEP24-70000-C,6.4,775.1,,147.76301,-43.56741,188.98821,0.00001,,0.66232,0.2355,6.3,77.34,0.241,0.2428,0.2445,78.75,1.3
BTC-27SEP24-70000-P,1.3,152.5,,-176.93658,-43.56741,188.98821,0.00001,,-0.33768,0.165,12,77.59,0.1635,0.1647,0.167,78.99,7
BTC-27SEP24-75000-C,7.3,850.9,,140.44487,-45.78501,197.8148,0.00001,,0.61409,0.2105,6.3,77.67,0.2135,0.2153,0.217,79.01,1.3
BTC-27SEP24-75000-P,-,144.9,,-207.44754,-45.78501,197.8148,0.00001,,-0.38591,0.1905,11.1,77.77,0.2015,0.2031,0.2055,79.3,7
BTC-27SEP24-80000-C,10.1,699.4,,132.63733,-47.24283,203.33373,0.00001,,0.56769,0.192,4,78.45,0.1905,0.1911,0.193,79.38,7.2
BTC-27SEP24-80000-P,5,44.1,,-238.4479,-47.24283,203.33373,0.00001,,-0.43231,0.2599,13,77.67,0.242,0.2447,0.248,79.91,4
BTC-27SEP24-85000-C,2,348.9,,124.61705,-48.0614,205.94613,0.00001,,0.52371,0.1645,3,78.69,0.169,0.1699,0.1715,79.61,9.2
BTC-27SEP24-85000-P,1.2,9.8,,-269.66101,-48.0614,205.94613,0.00001,,-0.47629,0.32,13,77.98,0.2865,0.2893,0.2975,82.04,3
BTC-27SEP24-90000-C,7,1964.5,,116.62451,-48.30353,206.10854,0.00001,,0.48235,0.1485,5.2,78.91,0.15,0.1512,0.1525,79.83,9.2
BTC-27SEP24-90000-P,1.6,4.6,,-300.84638,-48.30353,206.10854,0.00001,,-0.51765,0.3425,13,78.06,0.333,0.3365,0.345,82.48,3
BTC-27SEP24-95000-C,1.8,331.5,,108.81009,-48.06233,204.25433,0.00001,,0.44372,0.129,12.2,79.2,0.1335,0.1348,0.136,80.13,9.2
BTC-27SEP24-95000-P,-,0.3,,-331.85363,-48.06233,204.25433,0.00001,,-0.55628,0.39,10,74.86,0.373,0.3859,-,-,-
BTC-27SEP24-100000-C,82.3,1458.3,,101.29199,-47.45399,200.79978,0.00001,,0.408,0.12,2,79.68,0.1195,0.1204,0.1215,80.44,9.5
BTC-27SEP24-100000-P,-,11.7,,-362.56456,-47.45399,200.79978,0.00001,,-0.592,0.44,10,75.12,0.4245,0.4374,-,-,-
BTC-27SEP24-105000-C,0.1,136.3,,94.10766,-46.50096,196.06761,0.00001,,0.37481,0.1035,14,79.87,0.1065,0.1076,0.1085,80.65,1.3
BTC-27SEP24-105000-P,-,1.2,,-392.94171,-46.50096,196.06761,0.00001,,-0.62519,0.528,10,75.44,0.478,0.4905,-,-,-
BTC-27SEP24-110000-C,0.1,138,,87.33374,-45.33438,190.41012,0.00001,,0.34439,0.0915,11,80.25,0.0955,0.0964,0.0975,81.05,1.3
BTC-27SEP24-110000-P,-,2.7,,-422.90846,-45.33438,190.41012,0.00001,,-0.65561,0.615,10,75.32,0.532,0.5451,-,-,-
BTC-27SEP24-115000-C,11.2,388.9,,80.95447,-43.96728,184.04118,0.00001,,0.31634,0.084,14,80.48,0.0855,0.0865,0.0875,81.31,1.3
BTC-27SEP24-115000-P,-,22.1,,-452.48056,-43.96728,184.04118,0.00001,,-0.68366,0.55,10,75.42,0.588,0.601,-,-,-
BTC-27SEP24-120000-C,-,460.8,,75.00354,-42.4851,177.21867,0.00001,,0.29069,0.0755,1,80.86,0.077,0.0777,0.0785,81.5,1.3
BTC-27SEP24-120000-P,-,0.1,,-481.62431,-42.4851,177.21867,0.00001,,-0.70931,1.638,9,75.42,0.645,0.6581,-,-,-
BTC-27SEP24-125000-C,0.1,97.3,,69.46556,-40.91833,170.10711,0.00001,,0.26723,0.067,14,81,0.069,0.07,0.071,81.9,8.7
BTC-27SEP24-125000-P,-,-,,-510.35512,-40.91833,170.10711,0.00001,,-0.73277,1.828,8,75.37,0.703,0.7162,-,-,-
BTC-27SEP24-130000-C,1,328,,64.31152,-39.28615,162.8207,0.00001,,0.2457,0.0605,19.4,81.19,0.062,0.0631,0.064,82.12,1.7
BTC-27SEP24-130000-P,-,0.1,,-538.70199,-39.28615,162.8207,0.00001,,-0.7543,1.79,-,-,-,0.7752,-,-,-
BTC-27SEP24-140000-C,5.1,919.1,,55.10594,-35.95645,148.18529,0.00001,,0.20796,0.0505,11.4,81.65,0.0505,0.0515,0.0525,82.67,1.7
BTC-27SEP24-140000-P,-,-,,-594.29322,-35.95645,148.18529,0.00001,,-0.79204,2.021,1,-,0.0001,0.8953,-,-,-
BTC-27SEP24-160000-C,2,718.2,,40.58875,-29.58566,120.67989,0.00001,,0.15019,0.0335,11.5,82.41,0.034,0.035,0.036,83.67,1.8
BTC-27SEP24-160000-P,-,-,,-701.58172,-29.58566,120.67989,0.00001,,-0.84981,2.51,-,-,-,1.1421,-,-,-
BTC-27SEP24-180000-C,-,272.2,,30.02955,-23.93577,96.86589,-,,0.10941,0.027,10,83.16,0.0235,0.0241,0.025,84.33,1.9
BTC-27SEP24-180000-P,-,-,,-804.91223,-23.93577,96.86589,-,,-0.89059,2.96,-,-,-,1.3947,-,-,-
BTC-27SEP24-200000-C,6,208.3,,22.48713,-19.32279,77.57276,-,,0.08095,0.016,10,83.75,0.0165,0.0171,0.018,85.21,13
BTC-27SEP24-200000-P,-,-,,-905.22596,-19.32279,77.57276,-,,-0.91905,-,-,-,-,1.6511,-,-,-
BTC-27SEP24-240000-C,0.1,128.7,,13.19642,-12.79732,50.51419,-,,0.04672,0.0085,24.1,84.63,0.0085,0.0092,0.01,86.89,2.1
BTC-27SEP24-240000-P,-,-,,-1100.05928,-12.79732,50.51419,-,,-0.95328,-,-,-,-,2.17,-,-,-
