Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
BTC-26APR24-50000-C,-,2019.7,,23.33323,-25.26237,9.69324,-,,0.97403,0.2625,70,-,0.3125,0.3156,0.318,106.79,70
BTC-26APR24-50000-P,48.8,2107.4,,-0.99608,-25.24234,9.68556,-,,-0.02594,0.0022,45.8,91.32,0.002,0.0022,0.0023,93.59,10.7
BTC-26APR24-51000-C,-,48.6,,23.6609,-28.02614,10.96374,-,,0.9699,0.235,20,80.32,0.301,0.3022,0.304,100.5,20
BTC-26APR24-51000-P,47.8,631,,-1.15712,-28.04801,10.9723,-,,-0.03014,0.0023,44,89.34,0.0023,0.0025,0.0027,92.01,8.9
BTC-26APR24-52000-C,1,803.9,,23.92383,-32.02755,12.67307,0.00001,,0.96411,0.268,85,-,0.286,0.289,0.2915,101.45,15.1
BTC-26APR24-52000-P,26.3,491.3,,-1.38099,-32.05168,12.68262,0.00001,,-0.03593,0.003,22,88.95,0.0029,0.003,0.0032,90.67,9.4
BTC-26APR24-53000-C,-,143,,24.17867,-35.73252,14.37536,0.00001,,0.9581,0.2145,70,67.49,0.273,0.2758,0.2785,99.88,70
BTC-26APR24-53000-P,14.9,307.4,,-1.61143,-35.73252,14.37536,0.00001,,-0.0419,0.0032,26.3,87.42,0.0034,0.0036,0.0038,89.44,26
BTC-26APR24-54000-C,-,612.6,,24.395,-39.84359,16.27601,0.00001,,0.95111,0.2135,70,65.91,0.2595,0.2627,0.2655,97.54,70
BTC-26APR24-54000-P,49.6,1404.1,,-1.88345,-39.8719,16.28758,0.00001,,-0.04894,0.0039,30.6,86.01,0.004,0.0042,0.0044,87.8,8.7
BTC-26APR24-55000-C,20,1833.7,,24.50873,-45.63346,18.75283,0.00001,,0.94153,0.251,15.5,72.47,0.247,0.2499,0.2525,95.39,15.5
BTC-26APR24-55000-P,46.1,1876.8,,-2.25257,-45.60279,18.74022,0.00001,,-0.05841,0.0048,30.8,85.07,0.0048,0.0052,0.0055,87.79,82.3
BTC-26APR24-56000-C,1,1031.4,,24.64989,-50.10127,20.94609,0.00001,,0.93262,0.22,12.6,74.9,0.2345,0.237,0.2395,92.81,14
BTC-26APR24-56000-P,116.6,663.8,,-2.59774,-50.06872,20.93248,0.00001,,-0.06732,0.006,67.6,83.27,0.0055,0.006,0.0065,86.75,86.9
BTC-26APR24-57000-C,-,176.8,,24.71888,-55.34594,23.45702,0.00001,,0.92188,0.1745,12.2,73.83,0.2215,0.2244,0.227,91.42,11.7
BTC-26APR24-57000-P,67.3,367,,-3.01765,-55.34594,23.45702,0.00001,,-0.07812,0.0063,126.4,82.13,0.0065,0.007,0.0075,85.24,72.3
BTC-26APR24-58000-C,0.2,633.7,,24.68052,-61.9053,26.41422,0.00001,,0.90848,0.2145,70,74.02,0.209,0.212,0.215,90.88,76
BTC-26APR24-58000-P,21.6,572.3,,-3.54262,-61.9053,26.41422,0.00001,,-0.09152,0.008,46.9,82,0.008,0.0084,0.009,84.75,72.1
BTC-26APR24-59000-C,0.1,117.7,,24.61272,-68.03413,29.34629,0.00001,,0.89433,0.168,20,79,0.1985,0.1998,0.2015,86.41,31.2
BTC-26APR24-59000-P,55.3,254.5,,-4.0937,-67.99689,29.33023,0.00001,,-0.10557,0.0095,50.9,81.27,0.0095,0.0099,0.0105,83.75,74.6
BTC-26APR24-60000-C,20.1,1463.9,,24.4496,-74.91126,32.54128,0.00002,,0.87785,0.196,14.4,77.31,0.186,0.1879,0.19,86.27,16.8
BTC-26APR24-60000-P,286.5,1708.7,,-4.74304,-74.87322,32.52476,0.00002,,-0.12205,0.0111,7,81.15,0.0115,0.0118,0.012,82.27,40.2
BTC-26APR24-61000-C,2.4,184.2,,24.22942,-81.68571,35.76414,0.00002,,0.85998,0.162,15.1,75.13,0.1735,0.1763,0.179,86.4,17.4
BTC-26APR24-61000-P,45.4,428,,-5.45353,-81.68571,35.76414,0.00002,,-0.14002,0.014,16.2,80.41,0.0135,0.0139,0.014,81.43,11
BTC-26APR24-62000-C,0.3,572.4,,23.93973,-88.35355,39.0267,0.00002,,0.84039,0.1334,16.1,74.93,0.162,0.1649,0.168,86.13,18.5
BTC-26APR24-62000-P,42.6,526.8,,-6.22982,-88.35355,39.0267,0.00002,,-0.15961,0.0165,93.9,79.14,0.0155,0.0162,0.0165,81.02,15.7
BTC-26APR24-63000-C,0.1,113.6,,23.55382,-95.46448,42.37037,0.00002,,0.81856,0.1225,20,77.46,0.1525,0.1539,0.1555,82.62,12.2
BTC-26APR24-63000-P,54.7,1188.9,,-7.10235,-95.46448,42.37037,0.00002,,-0.18144,0.0186,19,79.25,0.0185,0.019,0.0195,80.97,62.2
BTC-26APR24-64000-C,12,180.9,,23.09178,-102.33412,45.65837,0.00002,,0.7949,0.1335,70.3,74.25,0.14,0.1433,0.147,85.42,76
BTC-26APR24-64000-P,288.2,1365.1,,-8.05099,-102.33412,45.65837,0.00002,,-0.2051,0.0215,49.3,78.68,0.0215,0.0221,0.0225,80.28,50.7
BTC-26APR24-65000-C,48.2,1630,,22.54307,-109.33955,48.86325,0.00002,,0.76935,0.141,0.3,77.56,0.132,0.1332,0.135,82.02,20
BTC-26APR24-65000-P,149.2,1058.6,,-9.08631,-109.33955,48.86325,0.00002,,-0.23065,0.0255,4.7,79.15,0.0255,0.0257,0.026,79.9,14.2
BTC-26APR24-66000-C,31.3,1182.6,,21.93103,-115.70975,51.86763,0.00003,,0.74233,0.1285,0.2,77.86,0.1225,0.1235,0.1245,80.67,0.1
BTC-26APR24-66000-P,148.4,1555.4,,-10.17886,-115.68042,51.85448,0.00003,,-0.2575,0.029,55.6,78.26,0.029,0.0297,0.03,79.66,11.7
BTC-26APR24-67000-C,140.1,572.1,,21.25687,-121.76666,54.62892,0.00003,,0.71409,0.1195,77.3,74.04,0.1105,0.1143,0.1175,83.39,77
BTC-26APR24-67000-P,35.9,272.5,,-11.34571,-121.76666,54.62892,0.00003,,-0.28591,0.033,36.8,78.22,0.0335,0.0342,0.0345,79.55,35.1
BTC-26APR24-68000-C,235.3,542.8,,20.51613,-127.25657,57.113,0.00003,,0.68444,0.107,20.4,76.58,0.1035,0.1055,0.1065,80.41,11.4
BTC-26APR24-68000-P,333.3,1293,,-12.57306,-127.25657,57.113,0.00003,,-0.31556,0.038,15.6,78.23,0.0385,0.0392,0.0395,79.5,27.7
BTC-26APR24-69000-C,37.4,423.4,,19.73779,-131.96905,59.24372,0.00003,,0.65416,0.102,20.3,77.65,0.096,0.0972,0.098,80.11,11.7
BTC-26APR24-69000-P,12.7,250.8,,-13.83104,-131.9534,59.23669,0.00003,,-0.34564,0.045,7.1,78.38,0.044,0.0446,0.045,79.61,27
BTC-26APR24-70000-C,57,4068.1,,18.923,-135.86289,61.00434,0.00003,,0.62331,0.089,0.1,78.11,0.0885,0.0893,0.0905,80.5,22.6
BTC-26APR24-70000-P,201.3,858.4,,-15.13941,-135.86289,61.00434,0.00003,,-0.37669,0.05,44.2,77.9,0.0495,0.0505,0.051,79.69,36.5
BTC-26APR24-71000-C,76.2,1443.3,,18.0801,-139.17853,62.37555,0.00003,,0.59225,0.0845,23.9,77.38,0.0805,0.0821,0.083,80.3,25
BTC-26APR24-71000-P,21.6,326.9,,-16.46891,-139.17853,62.37555,0.00003,,-0.40775,0.0565,0.3,78.77,0.0565,0.057,0.0575,79.94,46.7
BTC-26APR24-72000-C,34.9,655.7,,17.20426,-141.70645,63.34639,0.00003,,0.56074,0.074,24.4,78.57,0.0745,0.0753,0.0755,79.72,4.1
BTC-26APR24-72000-P,37.7,895.3,,-17.82394,-141.70812,63.34714,0.00003,,-0.43905,0.06,3,78.47,0.063,0.0639,0.0645,80.2,33.9
BTC-26APR24-73000-C,182.5,861,,16.33521,-143.35917,63.9169,0.00003,,0.52988,0.0705,30.8,78.56,0.068,0.0689,0.0695,80.27,32.2
BTC-26APR24-73000-P,20.4,160.4,,-19.19448,-143.3515,63.91348,0.00003,,-0.47033,0.071,3,78.77,0.0705,0.0713,0.072,80.47,38.7
BTC-26APR24-74000-C,373.3,877.8,,15.45802,-144.21022,64.09662,0.00003,,0.49924,0.063,46.3,78.68,0.062,0.063,0.0635,80.39,20.5
BTC-26APR24-74000-P,10.3,112.3,,-20.55827,-144.19663,64.09058,0.00003,,-0.50097,0.078,3,78.62,0.078,0.0791,0.08,80.89,9.2
BTC-26APR24-75000-C,396.5,2333.1,,14.5805,-144.24408,63.89754,0.00003,,0.46903,0.059,60.7,78.94,0.0565,0.0576,0.058,80.65,21.4
BTC-26APR24-75000-P,3,840.2,,-21.91494,-144.24408,63.89754,0.00003,,-0.53097,0.0885,21.1,78.57,0.086,0.0874,0.0885,81.41,20.6
BTC-26APR24-76000-C,231.2,1081.1,,13.73154,-143.57541,63.37136,0.00003,,0.44004,0.055,47.2,79.22,0.0515,0.0526,0.053,80.94,31.5
BTC-26APR24-76000-P,8,43.5,,-23.25783,-143.55067,63.36044,0.00003,,-0.56017,0.0915,17.8,78.04,0.094,0.0961,0.098,82.64,21.3
BTC-26APR24-77000-C,107.8,489.3,,12.89436,-142.18495,62.52267,0.00003,,0.41177,0.0486,39.7,79.68,0.047,0.0479,0.0485,81.42,38.3
BTC-26APR24-77000-P,-,39.8,,-24.57429,-142.18495,62.52267,0.00003,,-0.58823,0.13,20.3,78.29,0.103,0.1052,0.107,82.95,17.9
BTC-26APR24-78000-C,135.4,589.5,,12.07197,-140.04302,61.37382,0.00003,,0.38425,0.0445,0.2,80.34,0.043,0.0436,0.044,81.52,23.8
BTC-26APR24-78000-P,-,24.3,,-25.88328,-140.04302,61.37382,0.00003,,-0.61575,0.2335,15.4,78.53,0.1125,0.1146,0.1165,83.28,14.1
BTC-26APR24-79000-C,69.5,204.9,,11.29522,-137.5601,60.01763,0.00003,,0.35844,0.042,7.8,80.52,0.039,0.0397,0.04,81.74,18.8
BTC-26APR24-79000-P,-,4.4,,-27.14664,-137.5601,60.01763,0.00003,,-0.64156,0.1435,0.2,-,0.0005,0.1245,-,-,-
BTC-26APR24-80000-C,634.9,4420.2,,10.5451,-134.62291,58.44546,0.00003,,0.33373,0.036,1.5,80.96,0.0355,0.0362,0.0365,82.21,42
BTC-26APR24-80000-P,-,34.3,,-28.39001,-134.58054,58.42706,0.00003,,-0.66646,0.239,13.7,79.13,0.1325,0.1346,0.1365,84.12,12.5
BTC-26APR24-82000-C,108.5,576.5,,9.13482,-127.21649,54.78247,0.00003,,0.2876,0.031,58.5,81.34,0.029,0.0298,0.03,82.67,2.3
BTC-26APR24-82000-P,-,0.2,,-30.76685,-127.21649,54.78247,0.00003,,-0.7124,0.212,21.8,78.18,0.1525,0.1558,0.1595,87.48,23.6
BTC-26APR24-84000-C,84.9,831.5,,7.87742,-119.06044,50.7231,0.00002,,0.24699,0.027,40.7,82.36,0.024,0.0247,0.025,83.8,27.4
BTC-26APR24-84000-P,-,4.7,,-32.99747,-119.06044,50.7231,0.00002,,-0.75301,0.239,28.1,73.5,0.1715,0.1781,0.185,92.97,27.8
BTC-26APR24-85000-C,169.4,1925.8,,7.32288,-115.07043,48.69057,0.00002,,0.2292,0.0235,18.2,83.08,0.022,0.0226,0.0225,83.83,19.2
BTC-26APR24-85000-P,-,0.7,,-34.03861,-115.07043,48.69057,0.00002,,-0.7708,0.212,32.5,73.58,0.183,0.1897,0.1965,93.89,33
BTC-26APR24-86000-C,24.8,334.5,,6.77663,-110.39782,46.52176,0.00002,,0.21168,0.021,26,83.54,0.02,0.0205,0.0205,84.33,3.2
BTC-26APR24-86000-P,-,1.5,,-35.0766,-110.3433,46.49878,0.00002,,-0.78846,0.31,25.5,72.92,0.1945,0.2013,0.208,94.31,25
BTC-26APR24-88000-C,164.4,472.3,,5.79321,-101.08653,42.20876,0.00002,,0.18034,0.017,95.3,83.54,0.016,0.0169,0.017,85.28,24.9
BTC-26APR24-88000-P,-,-,,-37.0281,-101.08653,42.20876,0.00002,,-0.81966,-,34.3,71.63,0.218,0.2252,0.232,96.3,35
BTC-26APR24-90000-C,95.2,2549.8,,4.9551,-92.25479,38.09161,0.00002,,0.15382,0.0145,29.5,85.05,0.0135,0.014,0.014,86.02,3.8
BTC-26APR24-90000-P,-,340.3,,-38.84354,-92.20004,38.069,0.00002,,-0.8463,0.2707,70,77.24,0.2455,0.2498,0.253,91.94,70
BTC-26APR24-94000-C,122.9,330.6,,3.59742,-75.20287,30.43154,0.00001,,0.11112,0.0095,96.9,86.28,0.009,0.0096,0.01,88.69,44
BTC-26APR24-94000-P,-,-,,-42.14353,-75.20287,30.43154,0.00001,,-0.88888,-,29.1,64.79,0.293,0.3003,0.307,102.14,28.5
BTC-26APR24-95000-C,32.4,910.5,,3.31241,-71.08801,28.64695,0.00001,,0.1022,0.0092,118.3,86.24,0.008,0.0087,0.009,88.81,26.7
BTC-26APR24-95000-P,-,1.2,,-42.91817,-71.03821,28.62689,0.00001,,-0.89789,0.461,-,-,-,0.3132,-,-,-
BTC-26APR24-100000-C,65.9,3298.5,,2.23505,-54.22678,21.25651,0.00001,,0.06867,0.0057,25,90.24,0.0055,0.0056,0.006,91.93,45.3
BTC-26APR24-100000-P,-,1.9,,-46.42771,-54.18422,21.23982,0.00001,,-0.93139,0.5735,-,-,-,0.3787,-,-,-
BTC-26APR24-105000-C,11.6,1604,,1.53954,-41.58692,15.81731,0.00001,,0.04718,0.0038,23.3,92.28,0.0035,0.0037,0.0039,94.14,8.2
BTC-26APR24-105000-P,-,0.6,,-49.55407,-41.58692,15.81731,0.00001,,-0.95282,0.5745,-,-,-,0.4455,-,-,-
BTC-26APR24-120000-C,101.3,898.1,,0.53791,-18.63499,6.56667,-,,0.0164,0.0016,10.9,98.23,0.001,0.0012,0.0014,102.74,25.1
BTC-26APR24-120000-P,-,0.2,,-57.85478,-18.63499,6.56667,-,,-0.9836,0.74,-,-,-,0.6489,-,-,-
BTC-26APR24-140000-C,127.1,835.8,,0.17431,-7.62317,2.44762,-,,0.0053,0.0003,16.7,103.79,0.0002,0.0004,0.0006,116.06,17.2
BTC-26APR24-140000-P,-,-,,-67.9507,-7.61503,2.445,-,,-0.9947,-,-,-,-,0.9227,-,-,-
